Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
1e+09,Resistance,1.04667,0.0242092,1.04667
1e+09,Inductance,1.13889e-08,5.96432e-10,1.13889e-08
1e+09,Conductance,0.000354662,-1.87372e-05,0.000354662
1e+09,Capacitance,2.82234e-12,-1.49033e-13,2.82234e-12
1.07333e+09,Resistance,1.08364,0.0249959,1.08364
1.07333e+09,Inductance,1.1383e-08,5.96292e-10,1.1383e-08
1.07333e+09,Conductance,0.000380661,-2.00969e-05,0.000380661
1.07333e+09,Capacitance,2.82235e-12,-1.4903e-13,2.82235e-12
1.14667e+09,Resistance,1.11945,0.025873,1.11945
1.14667e+09,Inductance,1.13776e-08,5.96176e-10,1.13776e-08
1.14667e+09,Conductance,0.000406681,-2.14809e-05,0.000406681
1.14667e+09,Capacitance,2.82235e-12,-1.49033e-13,2.82235e-12
1.22e+09,Resistance,1.15404,0.026717,1.15404
1.22e+09,Inductance,1.13728e-08,5.96063e-10,1.13728e-08
1.22e+09,Conductance,0.000432705,-2.28518e-05,0.000432705
1.22e+09,Capacitance,2.82234e-12,-1.4903e-13,2.82234e-12
1.29333e+09,Resistance,1.18765,0.0275036,1.18765
1.29333e+09,Inductance,1.13684e-08,5.9597e-10,1.13684e-08
1.29333e+09,Conductance,0.000458711,-2.42351e-05,0.000458711
1.29333e+09,Capacitance,2.82235e-12,-1.49032e-13,2.82235e-12
1.36667e+09,Resistance,1.22035,0.0282695,1.22035
1.36667e+09,Inductance,1.13644e-08,5.9587e-10,1.13644e-08
1.36667e+09,Conductance,0.00048472,-2.55921e-05,0.00048472
1.36667e+09,Capacitance,2.82235e-12,-1.49033e-13,2.82235e-12
1.44e+09,Resistance,1.25215,0.0290203,1.25215
1.44e+09,Inductance,1.13607e-08,5.9579e-10,1.13607e-08
1.44e+09,Conductance,0.000510719,-2.69717e-05,0.000510719
