Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
1e+09,Resistance,0.578966,0.0167401,0.578966
1e+09,Inductance,6.32277e-09,8.4286e-10,6.32277e-09
1e+09,Conductance,0.000370577,-5.44888e-05,0.000370577
1e+09,Capacitance,2.58557e-12,-3.47905e-13,2.58557e-12
1.07333e+09,Resistance,0.600243,0.0174057,0.600243
1.07333e+09,Inductance,6.32015e-09,8.42785e-10,6.32015e-09
1.07333e+09,Conductance,0.000396321,-5.81649e-05,0.000396321
1.07333e+09,Capacitance,2.58558e-12,-3.47904e-13,2.58558e-12
1.14667e+09,Resistance,0.620794,0.018048,0.620794
1.14667e+09,Inductance,6.31775e-09,8.42715e-10,6.31775e-09
1.14667e+09,Conductance,0.000421994,-6.18228e-05,0.000421994
1.14667e+09,Capacitance,2.58556e-12,-3.47904e-13,2.58556e-12
1.22e+09,Resistance,0.64067,0.0185741,0.64067
1.22e+09,Inductance,6.31564e-09,8.42655e-10,6.31564e-09
1.22e+09,Conductance,0.000447597,-6.54263e-05,0.000447597
1.22e+09,Capacitance,2.58558e-12,-3.47904e-13,2.58558e-12
1.29333e+09,Resistance,0.659947,0.019109,0.659947
1.29333e+09,Inductance,6.31365e-09,8.42597e-10,6.31365e-09
1.29333e+09,Conductance,0.000473141,-6.90263e-05,0.000473141
1.29333e+09,Capacitance,2.58557e-12,-3.47903e-13,2.58557e-12
1.36667e+09,Resistance,0.678672,0.0196823,0.678672
1.36667e+09,Inductance,6.31184e-09,8.42545e-10,6.31184e-09
1.36667e+09,Conductance,0.000498635,-7.26368e-05,0.000498635
1.36667e+09,Capacitance,2.58557e-12,-3.47903e-13,2.58557e-12
1.44e+09,Resistance,0.696883,0.0201981,0.696883
1.44e+09,Inductance,6.31017e-09,8.42496e-10,6.31017e-09
